"filename", "language", "JSON with Comments", "JSON", "TypeScript", "TypeScript JSX", "YAML", "comment", "blank", "total"
"c:\Users\admin\Desktop\Next-js\agenda\app\api\files\route.ts", "TypeScript", 0, 0, 97, 0, 0, 62, 18, 177
"c:\Users\admin\Desktop\Next-js\agenda\app\api\main-data\route.tsx", "TypeScript JSX", 0, 0, 0, 13, 0, 0, 1, 14
"c:\Users\admin\Desktop\Next-js\agenda\app\api\messages\[id]\route.ts", "TypeScript", 0, 0, 76, 0, 0, 4, 16, 96
"c:\Users\admin\Desktop\Next-js\agenda\app\api\messages\route.tsx", "TypeScript JSX", 0, 0, 0, 51, 0, 4, 11, 66
"c:\Users\admin\Desktop\Next-js\agenda\app\api\messages\unseen\route.tsx", "TypeScript JSX", 0, 0, 0, 38, 0, 4, 9, 51
"c:\Users\admin\Desktop\Next-js\agenda\app\api\subjects\[id]\route.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 0, 2
"c:\Users\admin\Desktop\Next-js\agenda\app\api\user\route.ts", "TypeScript", 0, 0, 72, 0, 0, 4, 13, 89
"c:\Users\admin\Desktop\Next-js\agenda\app\api\users\route.ts", "TypeScript", 0, 0, -59, 0, 0, -4, -13, -76
"c:\Users\admin\Desktop\Next-js\agenda\app\api\users\route.tsx", "TypeScript JSX", 0, 0, 0, 14, 0, 0, 2, 16
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\archive\page.tsx", "TypeScript JSX", 0, 0, 0, 20, 0, 0, 0, 20
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\main\page.tsx", "TypeScript JSX", 0, 0, 0, -97, 0, 0, -2, -99
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\messages\@modal\(.)add-message\page.tsx", "TypeScript JSX", 0, 0, 0, 10, 0, 0, 2, 12
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\messages\@modal\(.)edit-message\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 9, 0, 0, 2, 11
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\messages\@modal\(.)view-message\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 11, 0, 0, 2, 13
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\messages\@modal\default.tsx", "TypeScript JSX", 0, 0, 0, 5, 0, 0, 2, 7
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\messages\add-message\page.tsx", "TypeScript JSX", 0, 0, 0, 10, 0, 0, 2, 12
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\messages\edit-message\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 9, 0, 0, 2, 11
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\messages\layout.tsx", "TypeScript JSX", 0, 0, 0, 19, 0, 0, 6, 25
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\messages\page.tsx", "TypeScript JSX", 0, 0, 0, 74, 0, 0, 10, 84
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\messages\view-message\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 11, 0, 0, 2, 13
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\settings\account\page.tsx", "TypeScript JSX", 0, 0, 0, 9, 0, 0, -1, 8
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\settings\colors\page.tsx", "TypeScript JSX", 0, 0, 0, 70, 0, 0, 5, 75
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\settings\subjects\page.tsx", "TypeScript JSX", 0, 0, 0, 14, 0, 0, -2, 12
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\subjects\page.tsx", "TypeScript JSX", 0, 0, 0, 38, 0, 0, 0, 38
"c:\Users\admin\Desktop\Next-js\agenda\app\initial-setup\page.tsx", "TypeScript JSX", 0, 0, 0, 145, 0, 0, 23, 168
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\actions.ts", "TypeScript", 0, 0, 144, 0, 0, -1, 23, 166
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\auth.ts", "TypeScript", 0, 0, -1, 0, 0, 0, 4, 3
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\definitions.ts", "TypeScript", 0, 0, 25, 0, 0, 0, 4, 29
