"filename", "language", "TypeScript JSX", "PostCSS", "TypeScript", "JSON with Comments", "Markdown", "JavaScript", "JSON", "XML", "YAML", "comment", "blank", "total"
"c:\Users\admin\Desktop\Next-js\agenda\.eslintrc.json", "JSON with Comments", 0, 0, 0, -3, 0, 0, 0, 0, 0, 0, -1, -4
"c:\Users\admin\Desktop\Next-js\agenda\README.md", "Markdown", 0, 0, 0, 0, -23, 0, 0, 0, 0, 0, -14, -37
"c:\Users\admin\Desktop\Next-js\agenda\app\api\events\[id]\route.ts", "TypeScript", 0, 0, -2, 0, 0, 0, 0, 0, 0, 0, 0, -2
"c:\Users\admin\Desktop\Next-js\agenda\app\api\events\route.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, -1, 3
"c:\Users\admin\Desktop\Next-js\agenda\app\api\files\route.ts", "TypeScript", 0, 0, 43, 0, 0, 0, 0, 0, 0, 305, 69, 417
"c:\Users\admin\Desktop\Next-js\agenda\app\api\main-data\route.tsx", "TypeScript JSX", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 1
"c:\Users\admin\Desktop\Next-js\agenda\app\api\main-posts\[id]\route.tsx", "TypeScript JSX", -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -3
"c:\Users\admin\Desktop\Next-js\agenda\app\api\main-posts\route.tsx", "TypeScript JSX", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\admin\Desktop\Next-js\agenda\app\api\messages\[id]\route.ts", "TypeScript", 0, 0, -2, 0, 0, 0, 0, 0, 0, 0, -1, -3
"c:\Users\admin\Desktop\Next-js\agenda\app\api\messages\route.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\admin\Desktop\Next-js\agenda\app\api\messages\unseen\route.tsx", "TypeScript JSX", -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -3
"c:\Users\admin\Desktop\Next-js\agenda\app\api\primitive-subjects\route.ts", "TypeScript", 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1, -2
"c:\Users\admin\Desktop\Next-js\agenda\app\api\ranking\route.tsx", "TypeScript JSX", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\admin\Desktop\Next-js\agenda\app\api\revalidate-calendar\route.ts", "TypeScript", 0, 0, -10, 0, 0, 0, 0, 0, 0, 0, -1, -11
"c:\Users\admin\Desktop\Next-js\agenda\app\api\subject-info\[id]\route.ts", "TypeScript", 0, 0, -21, 0, 0, 0, 0, 0, 0, 0, -6, -27
"c:\Users\admin\Desktop\Next-js\agenda\app\api\subjects\[id]\route.ts", "TypeScript", 0, 0, -2, 0, 0, 0, 0, 0, 0, 0, 0, -2
"c:\Users\admin\Desktop\Next-js\agenda\app\api\user\route.ts", "TypeScript", 0, 0, -2, 0, 0, 0, 0, 0, 0, 0, -1, -3
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\archive\page.tsx", "TypeScript JSX", -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\calendar\@modal\(.)add-event\page.tsx", "TypeScript JSX", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\calendar\@modal\(.)view-event\[id]\page.tsx", "TypeScript JSX", -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\calendar\add-event\page.tsx", "TypeScript JSX", -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\calendar\view-event\[id]\page.tsx", "TypeScript JSX", -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\main\@modal\(.)add-main-post\[type]\page.tsx", "TypeScript JSX", -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\main\@modal\(.)edit-main-post\[id]\[type]\page.tsx", "TypeScript JSX", -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\main\@modal\(.)view-main-post\[id]\[type]\page.tsx", "TypeScript JSX", -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\main\@modal\default.tsx", "TypeScript JSX", -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\main\add-main-post\[type]\page.tsx", "TypeScript JSX", -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1
