"filename", "language", "TypeScript JSX", "PostCSS", "TypeScript", "XML", "comment", "blank", "total"
"c:\Users\admin\Desktop\Next-js\agenda\app\api\events\[id]\route.ts", "TypeScript", 0, 0, 86, 0, 4, 16, 106
"c:\Users\admin\Desktop\Next-js\agenda\app\api\events\route.ts", "TypeScript", 0, 0, 53, 0, 27, 13, 93
"c:\Users\admin\Desktop\Next-js\agenda\app\api\files\route.ts", "TypeScript", 0, 0, 186, 0, 369, 97, 652
"c:\Users\admin\Desktop\Next-js\agenda\app\api\main-data\route.tsx", "TypeScript JSX", 52, 0, 0, 0, 1, 9, 62
"c:\Users\admin\Desktop\Next-js\agenda\app\api\main-posts\[id]\route.tsx", "TypeScript JSX", 65, 0, 0, 0, 4, 16, 85
"c:\Users\admin\Desktop\Next-js\agenda\app\api\main-posts\route.tsx", "TypeScript JSX", 31, 0, 0, 0, 0, 4, 35
"c:\Users\admin\Desktop\Next-js\agenda\app\api\messages\[id]\route.ts", "TypeScript", 0, 0, 74, 0, 4, 15, 93
"c:\Users\admin\Desktop\Next-js\agenda\app\api\messages\route.tsx", "TypeScript JSX", 51, 0, 0, 0, 4, 10, 65
"c:\Users\admin\Desktop\Next-js\agenda\app\api\messages\unseen\route.tsx", "TypeScript JSX", 36, 0, 0, 0, 4, 8, 48
"c:\Users\admin\Desktop\Next-js\agenda\app\api\primitive-subjects\route.ts", "TypeScript", 0, 0, 13, 0, 0, 1, 14
"c:\Users\admin\Desktop\Next-js\agenda\app\api\ranking\route.tsx", "TypeScript JSX", 15, 0, 0, 0, 0, 1, 16
"c:\Users\admin\Desktop\Next-js\agenda\app\api\subjects\[id]\route.ts", "TypeScript", 0, 0, 64, 0, 4, 13, 81
"c:\Users\admin\Desktop\Next-js\agenda\app\api\subjects\route.ts", "TypeScript", 0, 0, 31, 0, 0, 3, 34
"c:\Users\admin\Desktop\Next-js\agenda\app\api\user\route.ts", "TypeScript", 0, 0, 70, 0, 4, 12, 86
"c:\Users\admin\Desktop\Next-js\agenda\app\api\users\route.tsx", "TypeScript JSX", 14, 0, 0, 0, 0, 2, 16
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\archive\page.tsx", "TypeScript JSX", 44, 0, 0, 0, 0, 4, 48
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\calendar\@modal\(.)add-event\page.tsx", "TypeScript JSX", 16, 0, 0, 0, 0, 3, 19
