"filename", "language", "TypeScript", "JavaScript", "JSON with Comments", "Markdown", "JavaScript JSX", "JSON", "TypeScript JSX", "XML", "YAML", "PostCSS", "comment", "blank", "total"
"c:\Users\admin\Desktop\Next-js\agenda\.eslintrc.json", "JSON with Comments", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\admin\Desktop\Next-js\agenda\README.md", "Markdown", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 14, 37
"c:\Users\admin\Desktop\Next-js\agenda\app\api\events\[id]\route.ts", "TypeScript", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, 6, 69
"c:\Users\admin\Desktop\Next-js\agenda\app\api\events\route.ts", "TypeScript", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, -27, 9, 41
"c:\Users\admin\Desktop\Next-js\agenda\app\api\files\route.ts", "TypeScript", -186, 0, 0, 0, 0, 0, 0, 0, 0, 0, -369, -97, -652
"c:\Users\admin\Desktop\Next-js\agenda\app\api\history\[section]\route.ts", "TypeScript", 185, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35, 221
"c:\Users\admin\Desktop\Next-js\agenda\app\api\history\route.ts", "TypeScript", 239, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 274
"c:\Users\admin\Desktop\Next-js\agenda\app\api\main-data\route.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 147, 0, 0, 0, 3, 34, 184
"c:\Users\admin\Desktop\Next-js\agenda\app\api\main-posts\[id]\route.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 95, 0, 0, 0, -2, 9, 102
"c:\Users\admin\Desktop\Next-js\agenda\app\api\main-posts\route.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 2, 8, 75
"c:\Users\admin\Desktop\Next-js\agenda\app\api\messages\[id]\route.ts", "TypeScript", 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, 9, 88
"c:\Users\admin\Desktop\Next-js\agenda\app\api\messages\route.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, -4, 10, 82
"c:\Users\admin\Desktop\Next-js\agenda\app\api\messages\unseen\route.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 1, 7, 47
"c:\Users\admin\Desktop\Next-js\agenda\app\api\primitive-subjects\route.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21
"c:\Users\admin\Desktop\Next-js\agenda\app\api\ranking\route.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 5, 22
"c:\Users\admin\Desktop\Next-js\agenda\app\api\subjects\[id]\route.ts", "TypeScript", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, 4, 43
"c:\Users\admin\Desktop\Next-js\agenda\app\api\subjects\route.ts", "TypeScript", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 63
"c:\Users\admin\Desktop\Next-js\agenda\app\api\user\route.ts", "TypeScript", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, 4, 34
"c:\Users\admin\Desktop\Next-js\agenda\app\api\users\route.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 2, 13
"c:\Users\admin\Desktop\Next-js\agenda\app\api\weekly-challenge-answers\[id]\route.ts", "TypeScript", 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 130
"c:\Users\admin\Desktop\Next-js\agenda\app\api\weekly-challenge-answers\route.ts", "TypeScript", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 53
"c:\Users\admin\Desktop\Next-js\agenda\app\api\weekly-challenges\[id]\route.ts", "TypeScript", 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 160
"c:\Users\admin\Desktop\Next-js\agenda\app\api\weekly-challenges\route.ts", "TypeScript", 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 106
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\archive\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, -44, 0, 0, 0, 0, -4, -48
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\calendar\@modal\(.)add-event\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, -6, 0, 0, 0, 0, 0, -6
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\history\@modal\(.)add-file\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 4, 17
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\history\@modal\(.)add-folder\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 3, 16
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\history\@modal\default.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 2, 6
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\history\add-file\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 3, 16
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\history\add-folder\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 3, 16
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\history\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 6, 25
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\history\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 6, 90
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\main\@modal\(.)add-main-post\[type]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, -9, 0, 0, 0, 0, -2, -11
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\main\@modal\(.)add-main-post\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 2, 11
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\main\@modal\(.)edit-main-post\[id]\[type]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, -9, 0, 0, 0, 0, -2, -11
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\main\@modal\(.)edit-main-post\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 2, 11
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\main\@modal\(.)view-main-post\[id]\[type]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, -9, 0, 0, 0, 0, -2, -11
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\main\@modal\(.)view-main-post\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 2, 11
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\main\add-main-post\[type]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, -9, 0, 0, 0, 0, -2, -11
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\main\add-main-post\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 2, 11
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\main\edit-main-post\[id]\[type]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, -9, 0, 0, 0, 0, -2, -11
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\main\edit-main-post\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 2, 11
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\main\view-main-post\[id]\[type]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, -9, 0, 0, 0, 0, -2, -11
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\main\view-main-post\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 2, 11
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\messages\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 15
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\settings\account\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\settings\colors\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 3, 10
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\settings\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 1, 1, 35
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\settings\subjects\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 5, 20, 43
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\subjects\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 5, 43
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\weekly-challenges\@modal\(.)add-weekly-challenge\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 2, 11
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\weekly-challenges\@modal\(.)edit-weekly-challenge\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 2, 11
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\weekly-challenges\@modal\default.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 2, 6
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\weekly-challenges\add-weekly-challenge\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 2, 11
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\weekly-challenges\edit-weekly-challenge\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 2, 11
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\weekly-challenges\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 6, 25
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\weekly-challenges\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 5, 11
"c:\Users\admin\Desktop\Next-js\agenda\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, -16, 0, 1, -15
"c:\Users\admin\Desktop\Next-js\agenda\app\initial-setup\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 5, 11, 38
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\actions.ts", "TypeScript", -567, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -69, -642
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\actions\events\actions.ts", "TypeScript", 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 124
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\actions\events\validation.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\actions\history\actions.ts", "TypeScript", 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22, 145
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\actions\main-data\actions.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24
