"filename", "language", "JSON", "TypeScript", "TypeScript JSX", "PostCSS", "YAML", "comment", "blank", "total"
"c:\Users\admin\Desktop\Next-js\agenda\app\api\auth\route.ts", "TypeScript", 0, 77, 0, 0, 0, 0, 13, 90
"c:\Users\admin\Desktop\Next-js\agenda\app\api\events\[id]\route.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 10
"c:\Users\admin\Desktop\Next-js\agenda\app\api\history\[section]\route.ts", "TypeScript", 0, 3, 0, 0, 0, 0, -3, 0
"c:\Users\admin\Desktop\Next-js\agenda\app\api\history\route.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 3, 16
"c:\Users\admin\Desktop\Next-js\agenda\app\api\main-data\route.tsx", "TypeScript JSX", 0, 0, 24, 0, 0, -3, 2, 23
"c:\Users\admin\Desktop\Next-js\agenda\app\api\main-posts\[id]\route.tsx", "TypeScript JSX", 0, 0, 13, 0, 0, 0, 2, 15
"c:\Users\admin\Desktop\Next-js\agenda\app\api\main-posts\route.tsx", "TypeScript JSX", 0, 0, 1, 0, 0, 0, -1, 0
"c:\Users\admin\Desktop\Next-js\agenda\app\api\primitive-subjects\[id]\route.ts", "TypeScript", 0, 83, 0, 0, 0, 0, 13, 96
"c:\Users\admin\Desktop\Next-js\agenda\app\api\ranking\[id]\route.ts", "TypeScript", 0, 107, 0, 0, 0, 0, 17, 124
"c:\Users\admin\Desktop\Next-js\agenda\app\api\ranking\route.tsx", "TypeScript JSX", 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\admin\Desktop\Next-js\agenda\app\api\reset-password\route.ts", "TypeScript", 0, 21, 0, 0, 0, 1, 8, 30
"c:\Users\admin\Desktop\Next-js\agenda\app\api\send-reset-password\route.ts", "TypeScript", 0, 26, 0, 0, 0, 1, 7, 34
"c:\Users\admin\Desktop\Next-js\agenda\app\api\send-verification-email\route.ts", "TypeScript", 0, 26, 0, 0, 0, 1, 7, 34
"c:\Users\admin\Desktop\Next-js\agenda\app\api\subjects\[id]\route.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 8
"c:\Users\admin\Desktop\Next-js\agenda\app\api\subjects\route.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 6
"c:\Users\admin\Desktop\Next-js\agenda\app\api\user\route.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\admin\Desktop\Next-js\agenda\app\api\users\route.tsx", "TypeScript JSX", 0, 0, 52, 0, 0, 0, 14, 66
"c:\Users\admin\Desktop\Next-js\agenda\app\api\verification-token\[id]\route.ts", "TypeScript", 0, 55, 0, 0, 0, 0, 8, 63
"c:\Users\admin\Desktop\Next-js\agenda\app\api\verification-token\route.ts", "TypeScript", 0, 27, 0, 0, 0, 0, 5, 32
"c:\Users\admin\Desktop\Next-js\agenda\app\api\verify\route.ts", "TypeScript", 0, 17, 0, 0, 0, 1, 8, 26
"c:\Users\admin\Desktop\Next-js\agenda\app\api\weekly-challenge-answers\[id]\route.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 10
"c:\Users\admin\Desktop\Next-js\agenda\app\api\weekly-challenge-answers\route.ts", "TypeScript", 0, 36, 0, 0, 0, 0, 8, 44
"c:\Users\admin\Desktop\Next-js\agenda\app\api\weekly-challenges\[id]\route.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 9
"c:\Users\admin\Desktop\Next-js\agenda\app\api\weekly-challenges\route.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 10
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\settings\account\page.tsx", "TypeScript JSX", 0, 0, 19, 0, 0, 0, 1, 20
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\settings\subjects\page.tsx", "TypeScript JSX", 0, 0, 24, 0, 0, 0, 2, 26
