"filename", "language", "JSON", "TypeScript", "JSON with Comments", "YAML", "JavaScript", "TypeScript JSX", "MS SQL", "PostCSS", "comment", "blank", "total"
"c:\Users\admin\Desktop\Next-js\agenda\app\api\auth\[...nextauth]\route.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\admin\Desktop\Next-js\agenda\app\api\auth\route.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\admin\Desktop\Next-js\agenda\app\api\auth\update\route.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 1, 4, 14
"c:\Users\admin\Desktop\Next-js\agenda\app\api\events\[id]\route.ts", "TypeScript", 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, -1
"c:\Users\admin\Desktop\Next-js\agenda\app\api\events\route.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\admin\Desktop\Next-js\agenda\app\api\files\route.ts", "TypeScript", 0, 44, 0, 0, 0, 0, 0, 0, 9, 13, 66
"c:\Users\admin\Desktop\Next-js\agenda\app\api\history\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\Users\admin\Desktop\Next-js\agenda\app\api\main-data\route.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\admin\Desktop\Next-js\agenda\app\api\main-posts\[id]\route.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 41, 0, 0, 0, 9, 50
"c:\Users\admin\Desktop\Next-js\agenda\app\api\main-posts\route.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -11, 0, 0, 0, -2, -13
"c:\Users\admin\Desktop\Next-js\agenda\app\api\primitive-subjects\[id]\route.ts", "TypeScript", 0, -16, 0, 0, 0, 0, 0, 0, 0, -1, -17
"c:\Users\admin\Desktop\Next-js\agenda\app\api\reset-password\route.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, -1, 0, 6
"c:\Users\admin\Desktop\Next-js\agenda\app\api\send-reset-password\route.ts", "TypeScript", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 35
"c:\Users\admin\Desktop\Next-js\agenda\app\api\send-verification-email\route.ts", "TypeScript", 0, 31, 0, 0, 0, 0, 0, 0, 0, 1, 32
"c:\Users\admin\Desktop\Next-js\agenda\app\api\subjects\[id]\route.ts", "TypeScript", 0, -115, 0, 0, 0, 0, 0, 0, 0, -17, -132
"c:\Users\admin\Desktop\Next-js\agenda\app\api\subjects\[userid]\[id]\route.ts", "TypeScript", 0, 115, 0, 0, 0, 0, 0, 0, 0, 22, 137
"c:\Users\admin\Desktop\Next-js\agenda\app\api\subjects\[userid]\route.ts", "TypeScript", 0, 27, 0, 0, 0, 0, 0, 0, 0, 10, 37
"c:\Users\admin\Desktop\Next-js\agenda\app\api\subjects\route.ts", "TypeScript", 0, -29, 0, 0, 0, 0, 0, 0, 0, -4, -33
"c:\Users\admin\Desktop\Next-js\agenda\app\api\user\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\Users\admin\Desktop\Next-js\agenda\app\api\users\[userid]\route.ts", "TypeScript", 0, 107, 0, 0, 0, 0, 0, 0, 0, 18, 125
"c:\Users\admin\Desktop\Next-js\agenda\app\api\users\route.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 20, 0, 0, 0, 3, 23
"c:\Users\admin\Desktop\Next-js\agenda\app\api\verify\route.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\admin\Desktop\Next-js\agenda\app\forbidden.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\calendar\@modal\(.)add-event\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -10, 0, 0, 0, -3, -13
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\calendar\@modal\(.)edit-event\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -9, 0, 0, 0, -3, -12
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\calendar\@modal\(.)view-event\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -9, 0, 0, 0, -2, -11
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\calendar\@modal\default.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -4, 0, 0, 0, -2, -6
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\calendar\add-event\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, -3
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\calendar\edit-event\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\calendar\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -8, 0, 0, 0, -2, -10
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\calendar\view-event\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\history\@modal\(.)add-file\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 10, 0, 0, 0, 2, 12
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\history\@modal\(.)add-folder\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 10, 0, 0, 0, 3, 13
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\history\add-file\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 10, 0, 0, 0, 3, 13
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\history\add-folder\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 10, 0, 0, 0, 3, 13
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\history\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 9, 0, 0, 0, 3, 12
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\main\@modal\(.)add-main-post\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -9, 0, 0, 0, -2, -11
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\main\@modal\(.)edit-main-post\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -9, 0, 0, 0, -2, -11
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\main\@modal\(.)view-main-post\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -9, 0, 0, 0, -2, -11
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\main\@modal\default.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -4, 0, 0, 0, -2, -6
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\main\add-main-post\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, -3
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\main\edit-main-post\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -2, 0, 0, 0, 2, 0
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\main\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -7, 0, 0, 0, -3, -10
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\main\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\main\view-main-post\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -2, 0, 0, 0, 3, 1
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\messages\@modal\(.)edit-message\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\messages\@modal\(.)view-message\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\messages\edit-message\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\messages\view-message\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\settings\account\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\settings\colors\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\settings\subjects\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\subjects\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -38, 0, 0, -4, 3, -39
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\weekly-challenges\@modal\(.)edit-weekly-challenge\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\weekly-challenges\edit-weekly-challenge\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\admin\Desktop\Next-js\agenda\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 174, 289, 38, 501
"c:\Users\admin\Desktop\Next-js\agenda\app\initial-setup\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 18, 0, 0, 0, 3, 21
"c:\Users\admin\Desktop\Next-js\agenda\app\initial-setup\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -212, 0, 0, -5, -42, -259
"c:\Users\admin\Desktop\Next-js\agenda\app\initial-setup\subjects\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 4, 0, 0, 0, 3, 7
"c:\Users\admin\Desktop\Next-js\agenda\app\initial-setup\user-info\actions\actions.ts", "TypeScript", 0, 26, 0, 0, 0, 0, 0, 0, 0, 14, 40
"c:\Users\admin\Desktop\Next-js\agenda\app\initial-setup\user-info\actions\validation.ts", "TypeScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 3, 25
"c:\Users\admin\Desktop\Next-js\agenda\app\initial-setup\user-info\components\initial-setup-user-info-client.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 44, 0, 0, 0, 10, 54
"c:\Users\admin\Desktop\Next-js\agenda\app\initial-setup\user-info\components\initial-setup-user-info-server.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 6, 0, 0, 0, 5, 11
"c:\Users\admin\Desktop\Next-js\agenda\app\initial-setup\user-info\components\welcome-overlay.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 40, 0, 0, 2, 6, 48
"c:\Users\admin\Desktop\Next-js\agenda\app\initial-setup\user-info\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 69, 0, 0, 0, 5, 74
"c:\Users\admin\Desktop\Next-js\agenda\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 45, 0, 0, 1, 7, 53
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\actions\events\actions.ts", "TypeScript", 0, -3, 0, 0, 0, 0, 0, 0, 0, 4, 1
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\actions\history\actions.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 4, 5
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\actions\main-data\actions.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\actions\main-posts\actions.ts", "TypeScript", 0, -228, 0, 0, 0, 0, 0, 0, 220, 19, 11
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\actions\messages\actions.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 5, 7
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\actions\primitive-subjects\actions.ts", "TypeScript", 0, -10, 0, 0, 0, 0, 0, 0, 12, 3, 5
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\actions\ranking\actions.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\actions\session\actions.ts", "TypeScript", 0, -231, 0, 0, 0, 0, 0, 0, 334, 45, 148
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\actions\subjects\actions.ts", "TypeScript", 0, -1, 0, 0, 0, 0, 0, 0, 0, 8, 7
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\actions\user\actions.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 3, 6
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\actions\users\actions.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\actions\weekly-challenge-answers\actions.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 3, 5
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\actions\weekly-challenges\actions.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 3, 5
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\auth.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 103, 29, 132
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\cache.ts", "TypeScript", 0, 41, 0, 0, 0, 0, 0, 0, 7, 13, 61
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\definitions.ts", "TypeScript", 0, 76, 0, 0, 0, 0, 0, 0, 0, 19, 95
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\dotlottie.d.ts", "TypeScript", 0, -25, 0, 0, 0, 0, 0, 0, 0, -2, -27
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\helpers.ts", "TypeScript", 0, -28, 0, 0, 0, 0, 0, 0, 3, 1, -24
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\main-posts-context.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 26, 0, 0, 0, 7, 33
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\preload.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 10
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\secrets\placeholder-data.ts", "TypeScript", 0, -79, 0, 0, 0, 0, 0, 0, 0, -5, -84
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\secrets\tokens.ts", "TypeScript", 0, -94, 0, 0, 0, 0, 0, 0, 0, 0, -94
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\secrets\users.ts", "TypeScript", 0, -320, 0, 0, 0, 0, 0, 0, 0, -2, -322
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\subjects-context.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 26, 0, 0, 0, 7, 33
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\use-main-post.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 34, 0, 0, 1, 6, 41
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\use-main-posts.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 12, 0, 0, 1, -2, 11
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\use-subjects.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 7, 0, 0, 1, -2, 6
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\use-user.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 7, 0, 0, 1, -3, 5
