"filename", "language", "JSON", "TypeScript", "JSON with Comments", "Markdown", "XML", "JavaScript JSX", "YAML", "JavaScript", "TypeScript JSX", "MS SQL", "PostCSS", "comment", "blank", "total"
"c:\Users\admin\Desktop\Next-js\agenda\.eslintrc.json", "JSON with Comments", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\admin\Desktop\Next-js\agenda\README.md", "Markdown", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 14, 37
"c:\Users\admin\Desktop\Next-js\agenda\app\api\auth\[...nextauth]\route.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\admin\Desktop\Next-js\agenda\app\api\auth\route.ts", "TypeScript", 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 95
"c:\Users\admin\Desktop\Next-js\agenda\app\api\auth\update\route.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 14
"c:\Users\admin\Desktop\Next-js\agenda\app\api\events\[id]\route.ts", "TypeScript", 0, 162, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 184
"c:\Users\admin\Desktop\Next-js\agenda\app\api\events\route.ts", "TypeScript", 0, 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 137
"c:\Users\admin\Desktop\Next-js\agenda\app\api\files\route.ts", "TypeScript", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 13, 66
"c:\Users\admin\Desktop\Next-js\agenda\app\api\history\[section]\route.ts", "TypeScript", 0, 188, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 32, 221
"c:\Users\admin\Desktop\Next-js\agenda\app\api\history\route.ts", "TypeScript", 0, 252, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 292
"c:\Users\admin\Desktop\Next-js\agenda\app\api\main-data\route.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 224, 0, 0, 1, 45, 270
"c:\Users\admin\Desktop\Next-js\agenda\app\api\main-posts\[id]\route.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 214, 0, 0, 2, 36, 252
"c:\Users\admin\Desktop\Next-js\agenda\app\api\main-posts\route.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 2, 9, 97
"c:\Users\admin\Desktop\Next-js\agenda\app\api\messages\[id]\route.ts", "TypeScript", 0, 157, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 181
"c:\Users\admin\Desktop\Next-js\agenda\app\api\messages\route.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 127, 0, 0, 0, 20, 147
"c:\Users\admin\Desktop\Next-js\agenda\app\api\messages\unseen\route.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 75, 0, 0, 5, 15, 95
"c:\Users\admin\Desktop\Next-js\agenda\app\api\primitive-subjects\[id]\route.ts", "TypeScript", 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 79
"c:\Users\admin\Desktop\Next-js\agenda\app\api\primitive-subjects\route.ts", "TypeScript", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 35
